Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Care instructions (product.metafields.shopify.care-instructions),Carry options (product.metafields.shopify.carry-options),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Headwear features (product.metafields.shopify.headwear-features),Neckline (product.metafields.shopify.neckline),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ehs-cross-country-3a-state-champs,,,,,,,,,Black,,,Youth XL,,,,,,127.5728540625,,0,deny,manual,31.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/3A_XC_Champs_Crewneck_Black.jpg?v=1763402675,oz,,,
ehs-cross-country-3a-state-champs,,,,,,,,,Light Heathered Grey,,,XS,,,,,,127.5728540625,,0,deny,manual,31.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/3A_XC_Champs_Crewneck_LightGrey.jpg?v=1763402675,oz,,,
ehs-cross-country-3a-state-champs,,,,,,,,,Light Heathered Grey,,,S,,,,,,127.5728540625,,0,deny,manual,31.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/3A_XC_Champs_Crewneck_LightGrey.jpg?v=1763402675,oz,,,
ehs-cross-country-3a-state-champs,,,,,,,,,Light Heathered Grey,,,M,,,,,,127.5728540625,,0,deny,manual,31.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/3A_XC_Champs_Crewneck_LightGrey.jpg?v=1763402675,oz,,,
ehs-cross-country-3a-state-champs,,,,,,,,,Light Heathered Grey,,,L,,,,,,127.5728540625,,0,deny,manual,31.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/3A_XC_Champs_Crewneck_LightGrey.jpg?v=1763402675,oz,,,
ehs-cross-country-3a-state-champs,,,,,,,,,Light Heathered Grey,,,XL,,,,,,127.5728540625,,0,deny,manual,31.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/3A_XC_Champs_Crewneck_LightGrey.jpg?v=1763402675,oz,,,
ehs-cross-country-3a-state-champs,,,,,,,,,Light Heathered Grey,,,2XL,,,,,,127.5728540625,,0,deny,manual,33.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/3A_XC_Champs_Crewneck_LightGrey.jpg?v=1763402675,oz,,,
ehs-cross-country-3a-state-champs,,,,,,,,,Light Heathered Grey,,,3XL,,,,,,127.5728540625,,0,deny,manual,33.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/3A_XC_Champs_Crewneck_LightGrey.jpg?v=1763402675,oz,,,
ehs-cross-country-3a-state-champs,,,,,,,,,Light Heathered Grey,,,4XL,,,,,,127.5728540625,,0,deny,manual,33.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/3A_XC_Champs_Crewneck_LightGrey.jpg?v=1763402675,oz,,,
ehs-cross-country-3a-state-champs,,,,,,,,,Light Heathered Grey,,,Youth S,,,,,,127.5728540625,,0,deny,manual,31.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/3A_XC_Champs_Crewneck_LightGrey.jpg?v=1763402675,oz,,,
